Model,ticker,evtdate,cret,car,bhar,nrets_est
Market-Adjusted Model,MSFT,20100630,-0.047305622,-0.001416429,-0.001718379,60
Market-Adjusted Model,MSFT,20110630,0.008527179,-0.023475305,-0.023905356,60
Market-Adjusted Model,MSFT,20120702,0.0284186026,-0.008101325,-0.008285067,60
Market-Adjusted Model,MSFT,20130701,-0.019641835,-0.022545236,-0.022414628,60
Market-Adjusted Model,MSFT,20140630,0.0035953425,-0.00693733,-0.007130911,60
Market-Adjusted Model,MSFT,20150630,-0.018007041,-0.005940672,-0.005823085,60
Market-Adjusted Model,MSFT,20160630,0.0347896706,-0.000110836,-0.000174518,60
Market-Adjusted Model,MSFT,20170630,-0.023352505,-0.01896936,-0.018923961,60
Market-Adjusted Model,MSFT,20180702,0.0042583983,0.0042755839,0.0041547944,60
Market-Adjusted Model,MSFT,20190701,0.0181141116,0.0020866414,0.0020701634,60
Market-Adjusted Model,MSFT,20200630,0.042632278,0.0071338497,0.0072557185,60
Market-Adjusted Model,MSFT,20210630,0.010717493,0.0057149037,0.005714483,60
Market-Adjusted Model,MSFT,20100930,-0.012055541,-0.012122605,-0.01207149,60
Market-Adjusted Model,MSFT,20110930,-0.040860217,0.0077448437,0.0078760216,60
Market-Adjusted Model,MSFT,20121001,-0.016578249,-0.015570514,-0.015564277,60
Market-Adjusted Model,MSFT,20130930,0.0247177714,0.0243728936,0.0245776895,60
Market-Adjusted Model,MSFT,20140930,-0.010988974,0.0091014494,0.0090161679,60
Market-Adjusted Model,MSFT,20150930,0.0304920223,0.0108494245,0.0110816694,60
Market-Adjusted Model,MSFT,20160930,-0.010511815,-0.006927145,-0.006858327,60
Market-Adjusted Model,MSFT,20171002,0.0052795368,-0.005916992,-0.00599108,60
Market-Adjusted Model,MSFT,20181001,0.0064679473,0.0070734708,0.0070312654,60
Market-Adjusted Model,MSFT,20190930,-0.017700918,-0.00358001,-0.003633514,60
Market-Adjusted Model,MSFT,20200930,0.0144194232,0.0029305675,0.0028236354,60
Market-Adjusted Model,MSFT,20210930,0.0196812125,0.0187373357,0.0186932062,60
Market-Adjusted Model,MSFT,20101231,0.0003575342,-0.009347843,-0.009339014,60
Market-Adjusted Model,MSFT,20120103,0.0530360942,0.041428311,0.0420960942,60
Market-Adjusted Model,MSFT,20121231,0.0244807801,-0.00843133,-0.008850357,60
Market-Adjusted Model,MSFT,20131231,-0.003486218,0.000935287,0.0009525021,60
Market-Adjusted Model,MSFT,20141231,-0.014541673,0.0007891193,0.0006968202,60
Market-Adjusted Model,MSFT,20151231,-0.030946066,0.001259466,0.0012229966,60
Market-Adjusted Model,MSFT,20170103,-0.009538987,-0.020526194,-0.020570254,60
Market-Adjusted Model,MSFT,20180102,0.0073494781,-0.001512944,-0.001479068,60
Market-Adjusted Model,MSFT,20181231,-0.000592978,-0.011804126,-0.011932651,60
Market-Adjusted Model,MSFT,20191231,0.0104428058,0.0046955916,0.0045830054,60
Market-Adjusted Model,MSFT,20201231,-0.028819949,-0.021447297,-0.021237271,60
Market-Adjusted Model,MSFT,20211231,-0.021055745,-0.023900604,-0.023726849,60
Market-Adjusted Model,MSFT,20100331,-0.014531947,-0.018787859,-0.018816465,60
Market-Adjusted Model,MSFT,20110331,-0.00039232,-0.012337972,-0.012418945,60
Market-Adjusted Model,MSFT,20120402,-0.005603935,-0.012651127,-0.012689722,60
Market-Adjusted Model,MSFT,20130401,0.0151567985,0.0135991701,0.0136850419,60
Market-Adjusted Model,MSFT,20140331,0.0523373347,0.0289940042,0.0296771587,60
Market-Adjusted Model,MSFT,20150331,-0.006102026,-0.00719155,-0.007090759,60
Market-Adjusted Model,MSFT,20160331,0.0157192586,0.0062204269,0.0062844392,60
Market-Adjusted Model,MSFT,20170331,0.0012219619,0.0019916325,0.0019832813,60
Market-Adjusted Model,MSFT,20180402,0.003579816,0.0005543395,0.0002251284,60
Market-Adjusted Model,MSFT,20190401,0.0193278212,0.0009331941,0.0009650493,60
Market-Adjusted Model,MSFT,20200331,0.0160988912,0.0468851047,0.045093552,60
Market-Adjusted Model,MSFT,20210331,0.0302244522,0.0116052243,0.0113482582,60
Market-Adjusted Model,IBM,20100630,-0.0496976,-0.004330034,-0.004110357,60
Market-Adjusted Model,IBM,20110630,0.0266454858,-0.005630857,-0.00578705,60
Market-Adjusted Model,IBM,20120702,0.0236677066,-0.012772027,-0.013035963,60
Market-Adjusted Model,IBM,20130701,-0.021211317,-0.023964986,-0.02398411,60
Market-Adjusted Model,IBM,20140630,0.0331541348,0.0223322878,0.0224278813,60
Market-Adjusted Model,IBM,20150630,-0.005862452,0.0062993089,0.0063215041,60
Market-Adjusted Model,IBM,20160630,0.045641793,0.010431456,0.0106776039,60
Market-Adjusted Model,IBM,20170630,0.0016739282,0.0061681487,0.0061024727,60
Market-Adjusted Model,IBM,20180702,-0.003356084,-0.003475968,-0.003459688,60
Market-Adjusted Model,IBM,20190701,0.0122725735,-0.003657023,-0.003771375,60
Market-Adjusted Model,IBM,20200630,0.0115197408,-0.023112253,-0.023856819,60
Market-Adjusted Model,IBM,20210630,0.0106683401,0.0056402934,0.0056653301,60
Market-Adjusted Model,IBM,20100930,0.0055600861,0.0056355221,0.0055441369,60
Market-Adjusted Model,IBM,20110930,-0.023993295,0.0251892987,0.0247429434,60
Market-Adjusted Model,IBM,20121001,0.0190859725,0.0200433846,0.0200999445,60
Market-Adjusted Model,IBM,20130930,-0.020187132,-0.020376926,-0.020327214,60
Market-Adjusted Model,IBM,20140930,-0.015205721,0.0048795358,0.004799421,60
Market-Adjusted Model,IBM,20150930,0.0075076619,-0.01172254,-0.011902691,60
Market-Adjusted Model,IBM,20160930,-0.004295866,-0.000692927,-0.000642378,60
Market-Adjusted Model,IBM,20171002,0.0076891051,-0.003503147,-0.003581512,60
Market-Adjusted Model,IBM,20181001,0.0148514852,0.0153856102,0.0154148032,60
Market-Adjusted Model,IBM,20190930,0.0007662873,0.0150068143,0.0148336914,60
Market-Adjusted Model,IBM,20200930,-0.005257594,-0.016820772,-0.016853382,60
Market-Adjusted Model,IBM,20210930,0.0425547835,0.0411415343,0.0415667772,60
Market-Adjusted Model,IBM,20101231,0.0065519479,-0.003176716,-0.0031446,60
Market-Adjusted Model,IBM,20120103,-0.003437531,-0.014272319,-0.014377531,60
Market-Adjusted Model,IBM,20121231,0.0188884814,-0.014145269,-0.014442655,60
Market-Adjusted Model,IBM,20131231,0.0024313644,0.0069329683,0.0068700844,60
Market-Adjusted Model,IBM,20141231,0.0096567386,0.0249681248,0.0248952322,60
Market-Adjusted Model,IBM,20151231,-0.027400213,0.0048734118,0.0047688491,60
Market-Adjusted Model,IBM,20170103,0.0159663164,0.0048989401,0.0049350496,60
Market-Adjusted Model,IBM,20180102,0.0288886805,0.0200129803,0.0200601349,60
Market-Adjusted Model,IBM,20181231,0.0125681166,0.001298538,0.0012284437,60
Market-Adjusted Model,IBM,20191231,0.0011088488,-0.004529109,-0.004750952,60
Market-Adjusted Model,IBM,20201231,0.0011308517,0.0088357606,0.0087135302,60
Market-Adjusted Model,IBM,20211231,0.0201723821,0.0174388281,0.0175012782,60
Market-Adjusted Model,IBM,20100331,-0.002644034,-0.006948381,-0.006928551,60
Market-Adjusted Model,IBM,20110331,0.0085338861,-0.003460378,-0.003492739,60
Market-Adjusted Model,IBM,20120402,0.0059057747,-0.001202221,-0.001180012,60
Market-Adjusted Model,IBM,20130401,0.016454081,0.0149375016,0.0149823243,60
Market-Adjusted Model,IBM,20140331,0.0246009487,0.0019196441,0.0019407727,60
Market-Adjusted Model,IBM,20150331,-0.007605994,-0.008512078,-0.008594727,60
Market-Adjusted Model,IBM,20160331,0.0213621001,0.0119679962,0.0119272806,60
Market-Adjusted Model,IBM,20170331,0.0032194869,0.0039678506,0.0039808063,60
Market-Adjusted Model,IBM,20180402,-0.017505888,-0.021188779,-0.020860576,60
Market-Adjusted Model,IBM,20190401,0.0220125917,0.0036416722,0.0036498198,60
Market-Adjusted Model,IBM,20200331,-0.026751824,0.0032326131,0.0022428373,60
Market-Adjusted Model,IBM,20210331,-0.019358199,-0.038253443,-0.038234393,60
Market-Adjusted Model,AAPL,20100630,-0.073872505,-0.029379322,-0.028285262,60
Market-Adjusted Model,AAPL,20110630,0.0238620772,-0.008247818,-0.008570458,60
Market-Adjusted Model,AAPL,20120702,0.0533520531,0.0160891736,0.0166483835,60
Market-Adjusted Model,AAPL,20130701,0.0627507524,0.0588390482,0.059977959,60
Market-Adjusted Model,AAPL,20140630,0.028822828,0.017858332,0.0180965746,60
Market-Adjusted Model,AAPL,20150630,-0.001183444,0.0110403666,0.0110005119,60
Market-Adjusted Model,AAPL,20160630,0.0245753089,-0.010229859,-0.01038888,60
Market-Adjusted Model,AAPL,20170630,-0.01597752,-0.011587445,-0.011548975,60
Market-Adjusted Model,AAPL,20180702,-0.00851753,-0.008456287,-0.008621134,60
Market-Adjusted Model,AAPL,20190701,0.0149694105,-0.000886524,-0.001074538,60
Market-Adjusted Model,AAPL,20200630,0.0296354397,-0.0055072,-0.00574112,60
Market-Adjusted Model,AAPL,20210630,0.0184745915,0.0133848371,0.0134715815,60
Market-Adjusted Model,AAPL,20100930,-0.015129319,-0.015183919,-0.015145268,60
Market-Adjusted Model,AAPL,20110930,-0.056446947,-0.008427589,-0.007710709,60
Market-Adjusted Model,AAPL,20121001,-0.029369473,-0.028517039,-0.028355501,60
Market-Adjusted Model,AAPL,20130930,0.0035786077,0.0037478717,0.0034385257,60
Market-Adjusted Model,AAPL,20140930,-0.015583123,0.0045574872,0.0044220192,60
Market-Adjusted Model,AAPL,20150930,-0.025435794,-0.044618244,-0.044846146,60
Market-Adjusted Model,AAPL,20160930,-0.012549367,-0.00889593,-0.008895879,60
Market-Adjusted Model,AAPL,20171002,0.0078287902,-0.003405249,-0.003441827,60
Market-Adjusted Model,AAPL,20181001,0.0192487301,0.0196938074,0.0198120482,60
Market-Adjusted Model,AAPL,20190930,0.021374309,0.0354874692,0.035441713,60
Market-Adjusted Model,AAPL,20200930,0.0159185968,0.0043701207,0.0043228089,60
Market-Adjusted Model,AAPL,20210930,0.005214503,0.0041983519,0.0042264967,60
Market-Adjusted Model,AAPL,20101231,0.0131574866,0.0036028465,0.0034609387,60
Market-Adjusted Model,AAPL,20120103,0.0205371433,0.0094606475,0.0095971433,60
Market-Adjusted Model,AAPL,20121231,0.0659535411,0.0320518282,0.0326224043,60
Market-Adjusted Model,AAPL,20131231,-0.012426613,-0.007886689,-0.007987893,60
Market-Adjusted Model,AAPL,20141231,-0.040207196,-0.025434066,-0.024968703,60
Market-Adjusted Model,AAPL,20151231,-0.031175276,0.0011014265,0.0009937865,60
Market-Adjusted Model,AAPL,20170103,-0.00608247,-0.017115819,-0.017113737,60
Market-Adjusted Model,AAPL,20180102,0.0067219664,-0.001943217,-0.002106579,60
Market-Adjusted Model,AAPL,20181231,0.0113352825,-1.288436E-6,-4.390397E-6,60
Market-Adjusted Model,AAPL,20191231,0.0364044805,0.0301579994,0.0305446802,60
Market-Adjusted Model,AAPL,20201231,-0.040483367,-0.033448599,-0.032900688,60
Market-Adjusted Model,AAPL,20211231,0.014661554,0.0121905972,0.01199045,60
Market-Adjusted Model,AAPL,20100331,0.0154051463,0.0111020554,0.0111206291,60
Market-Adjusted Model,AAPL,20110331,-0.01823568,-0.030317164,-0.030262305,60
Market-Adjusted Model,AAPL,20120402,0.0319089971,0.0250985018,0.0248232104,60
Market-Adjusted Model,AAPL,20130401,-0.049300997,-0.051342848,-0.050772754,60
Market-Adjusted Model,AAPL,20140331,0.0077959335,-0.014692061,-0.014864243,60
Market-Adjusted Model,AAPL,20150331,0.0081135905,0.0074160614,0.0071248571,60
Market-Adjusted Model,AAPL,20160331,0.0214524292,0.0120116407,0.0120176098,60
Market-Adjusted Model,AAPL,20170331,-0.002914226,-0.00216581,-0.002152906,60
Market-Adjusted Model,AAPL,20180402,0.0114728725,0.007721744,0.008118185,60
Market-Adjusted Model,AAPL,20190401,0.0280839498,0.0095555764,0.0097211779,60
Market-Adjusted Model,AAPL,20200331,-0.027569231,0.0016601478,0.0014254296,60
Market-Adjusted Model,AAPL,20210331,0.0132630419,-0.005350187,-0.005613152,60
